Time,Contract,Fill Type,Filled Qty,Exec.Price,Value,Fill ID,Side,Fee rate,Rebate,Fees paid,Order Type,Order Price,Order Qty,Unfilled Qty,Order ID,Client Order ID
2025-01-21 13:10:33.440744+05:30 IST Asia/Kolkata,BTCUSD,normal,45,102165.5,4597.4475,fd4eed626690496f9be45a21593ed320,sell,0.0005,0,2.71249403,market_order,99617,45,0,268583453,
2025-01-21 12:00:44.689316+05:30 IST Asia/Kolkata,BTCUSD,normal,45,101706,4576.77,8bffc905136e44f5ae0966c63ff95aff,buy,0.0005,0,2.7002943,market_order,104301,45,0,268523271,
2025-01-20 23:40:02.766628+05:30 IST Asia/Kolkata,BTCUSD,normal,40,104019,4160.76,1232a073d0f54a2da01cb15b5454464d,sell,0.0005,0,2.4548484,market_order,101113,40,0,267990813,
2025-01-20 23:30:45.805757+05:30 IST Asia/Kolkata,BTCUSD,normal,40,103425.5,4137.02,20e6096c014d4770971c580b0cac4687,buy,0.0005,0,2.4408418,market_order,105747,40,0,267989878,
2025-01-20 23:23:12.685103+05:30 IST Asia/Kolkata,BTCUSD,liquidation,20,104229.5,2084.59,e400f49076674001a7b27d0632c1637e,buy,0.0005,0,1.2299081,limit_order,104411.5,20,0,267963612,
2025-01-20 23:09:11.557151+05:30 IST Asia/Kolkata,BTCUSD,normal,20,102364,2047.28,bb38eb8db56c411d851c6186bc6ce471,sell,0.0005,0,1.2078952,market_order,100277.5,20,0,267888763,
2025-01-20 23:03:29.736091+05:30 IST Asia/Kolkata,BTCUSD,normal,19,103638,1969.122,42356aa41a0045c3a03189c7a0dc28f8,sell,0.0005,0,1.16178198,market_order,101495,19,0,267782560,
2025-01-20 22:37:57.773417+05:30 IST Asia/Kolkata,BTCUSD,normal,19,103341,1963.479,57d2547fadad4412806c5dd7facf251a,buy,0.0005,0,1.15845261,limit_order,103567,19,0,267763736,
2025-01-20 22:35:58.269566+05:30 IST Asia/Kolkata,ETHUSD,normal,40,3303.15,1321.26,6b86b9e5552545f0af7feb22bb2d9332,buy,0.0005,0,0.7795434,market_order,3402.65,40,0,267740536,
2025-01-20 22:22:14.819012+05:30 IST Asia/Kolkata,ETHUSD,normal,40,3374.5,1349.8,8aaf841426e24402bb84c8c6e8ae4f7f,sell,0.0005,0,0.796382,market_order,3290.65,40,0,267695727,
